# id<TAB>translation; literal \r and \n are decoded by Apply-TranslationMap.ps1
2563	空格键
2564	X键
2565	A键
2566	操作
2567	空格
2568	下
2569	圆圈
2570	取消
2571	上
2572	左
2573	右
2617	“我能把你的大理石雕像刻出来吗？”
2619	“能请你在我刚出生的宝宝头上签名吗？”
2620	“能和你，荷马，待在同一个房间里，我真是荣幸。”
2621	“真不敢相信今天能进来。队伍排得老长了。但他没有让我失望！”
2622	“我从没见过谁能得到缪斯如此眷顾。”
2623	“我哭了。真的哭了。”
2624	“这是我听过最棒的诗！”
2625	“奥德修斯太酷了！”
2626	“希望有一天学校会教这首诗！”
2627	“你觉得他会返场吗？”
2628	“你觉得我好好求他的话，他会给我一缕头发吗？”
2629	“我要剪下一块他的长袍，回家裱起来。”
2630	“你觉得他有对象吗？”
2631	“我无话可说。”
2632	“妈妈，我长大后想当诗人。”
2633	“这是我这周遇到的最棒的事。昨天我还治好了瘟疫呢！”
2634	“这人真棒！”
2636	“他真的有两下子。”
2637	“奥德修斯真酷！”
2638	“奥德修斯真帅。等等，诗人的名字不是奥德修斯？”
2639	“你觉得这首诗是自传吗？”
2640	“他照这样下去，名字一定会载入史册。”
2641	“荷马，能给我签名吗？哦，你不会写字？没关系，我也不识字。”
2642	“他真是个优秀的演说家。”
2643	“有那样的嗓音，什么故事都能讲得精彩。”
2644	“我要去试着和诗人握手。祝我好运！”
2645	“阿波罗真是对他展露微笑。”
2646	“我是来喝醉的，结果惊喜得不得了。”
2647	“他当诗人是很棒，可把这里挤得太满了。”
2648	“其实还挺不错。”
2650	“嘿，我明天还会回来。想看看这家伙接下来能写出什么！”
2651	“刚才那位诗人叫什么来着？我要看他所有的演出。”
2652	“我每晚都来，这家伙每次都比上次更好了。”
2653	“我很意外。”
2654	“哇！”
2655	“这个年轻诗人是从哪儿冒出来的？”
2656	“他算是有点帅吧。”
2657	“这位年轻诗人很有潜力。”
2658	“亲爱的，我们明天再来吧。”
2659	“妈妈，刚才真好玩！我们能再来听一次吗？”
2660	“这家伙能去我孩子的生日派对演出吗？”
2661	“我见过更糟的。前几天这里有个叫荷马的家伙。那才叫糟糕。”
2663	“不能说我喜欢。但也没糟到哪儿去。”
2664	“也许他可以加一段奥德修斯脱掉上衣的戏。那一定很火辣。”
2665	“今年诗歌奖的最佳吻戏肯定没它的份。”
2666	“谁能再给我来一杯酒？”
2667	“妈妈，我不喜欢那个男人的脸。”
2668	“他的讲故事技巧真得好好补补。”
2669	“真希望故事再长点。我想听更多动作场面！”
2670	“爆炸呢？我希望他加点爆炸。”
2671	“我每晚都来，这家伙却一直讲同一个糟糕故事。”
2672	“这是我这周遇到的最糟糕的事。昨天我还染上瘟疫了。”
2674	“妈妈，那个男人为什么要这样丢人现眼？”
2675	“谁让他上台的？”
2676	“所以，奥德修斯算是主角？”
2677	“这家伙为什么不讲个更有意思的故事？比如阿喀琉斯之类的。”
2678	“我刚吐了。”
2679	“我再也不来了。”
2680	“他还是别辞掉白天的工作吧。”
2681	“众神啊，糟透了。”
2682	“他得给故事再加点东西。感觉实在太短了。”
3013	按下
3029	清晨
3031	白天
3032	傍晚
3033	夜晚
3037	俄瑞斯忒斯\r\n宅邸
3039	家
3041	俱乐部
3045	未受训练
3046	新手
3047	入门者
3048	学徒
3049	熟手
3050	技艺娴熟
3051	专家
3052	大师
3053	史诗诗人
3065	剩余天数
3067	演绎等级
3069	演说加成
3072	缪斯，请将那位巧思过人的人\r\n用歌声馈赠西方的故事唱给我听。\r\n
3077	学者俄瑞斯忒斯正在别墅里研读，忽然听见前门被撞开的巨响。\r\n
3084	俄瑞斯忒斯递给荷马一个小小的长方形物件，摸起来像一块烘得很薄的泥板。\r\n
3091	荷马和俄瑞斯忒斯走进一家昏暗的咖啡馆，里面坐满了脾气暴躁的客人。每个人都吵闹、醉醺醺的，随时准备找点乐子。\r\n
3095	\r\n夜幕降临，荷马前往塞妮娅咖啡馆，准备再次演出。\r\n
3100	\r\n终于到了最后一场演出。荷马走进比赛剧场，看见人潮如海。\r\n
3102	\r\n附近坐着三名评委，负责测量观众的反应。\r\n
3103	\r\n荷马攥紧故事卡，深吸一口气，开始讲述。\r\n
3108	有史以来最伟大的故事
3110	奥德修斯的大冒险
3111	噢，兄弟，你在哪里？
3112	奥德修斯的绝妙历险
3113	奥德修斯寻路归乡
3114	海上十年
3115	别和奥德修斯一起航海：一个警示故事
3116	想知道的奥德修斯一切，却不敢问的事
3117	卡吕普索的失恋
3118	奥德赛与神谕
3119	奥德修斯之歌
3120	雅典娜最喜爱的凡人
3121	人人都爱奥德修斯
3122	荷马的杰作
3123	荷马惊天大诗 5000
3124	三桨战船的麻烦
3125	海洋……最后的边疆（至少我是这么知道的）
3126	我熬过二十年漂泊，得到的只有这首蠢诗
3127	波塞冬历险记
3128	奥德修斯与阿尔戈英雄
3129	愁绪不断的人
3130	求婚者？我根本不认识她
3131	老人与海
3132	老年奥德修斯
3133	奥德修斯：无家可归
3134	去伊塔卡的路上发生了一件趣事
3135	奥德修斯智胜众人
3136	爱琴海谋杀案
3147	你要用这段{0}做什么？
